STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160130,0.01,3.1,0.0,34,40,26,5.8,180,320,13.0,19.0,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160131,0.00,3.1,0.0,40,51,34,5.8,210,210,15.0,21.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160201,0.00,2.0,0.0,45,59,31,8.7,240,250,25.9,38.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160202,0.00,0.0,0.0,37,48,25,4.9,60,290,13.0,16.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160203,0.79,0.0,0.0,37,50,31,8.9,200,190,21.9,31.1,-9999,1,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160204,0.00,0.0,0.0,45,55,38,4.9,260,270,15.0,19.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160205,0.53,0.0,8.8,35,42,20,11.2,340,340,23.9,30.0,-9999,1,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160206,0.00,5.9,0.0,24,35,11,6.9,210,200,14.1,19.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160207,0.00,3.9,0.0,33,44,21,7.4,50,50,18.1,25.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160208,0.24,3.9,4.4,22,28,16,15.7,10,340,23.9,31.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160209,0.06,5.9,0.8,21,26,13,6.0,20,20,18.1,21.9,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160210,0.00,5.9,0.0,24,34,13,4.5,160,250,10.1,14.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160211,0.11,5.1,1.7,26,30,5,6.9,300,320,18.1,25.1,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160212,0.00,5.9,0.0,10,21,-2,6.3,290,290,17.0,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
